"Occupation by major field of study (detailed, 4-digit): Canada, provinces and territories"
"Frequency: Occasional"
"Table: 98-10-0404-01"
"Release date: 2023-10-04"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A), Age (2), Highest certificate, diploma or degree (16), Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3)"

"Geography","Canada i1",,
"Age (2) 1","Total - Age 4",,
"Highest certificate, diploma or degree (16) 2","Total - Highest certificate, diploma or degree 5",,
"Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 3","Total - Major field of study - Classification of Instructional Programs (CIP) 2021 6",,
"Gender (3) 7 8","Total - Gender","Men+ 10","Women+ 11"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9"
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","6,875","2,905","3,960"
"5311 Photographers and support occupations in arts and culture","34,285","18,875","15,405"
"53110 Photographers","20,540","9,690","10,850"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","13,740","9,185","4,555"
"5312 Occupations in creative and performing art","87,245","31,325","55,920"
"53120 Dancers","10,910","1,500","9,410"
"53121 Actors, comedians and circus performers","19,595","9,920","9,675"
"53122 Painters, sculptors and other visual artists","21,460","7,420","14,045"
"53123 Theatre, fashion, exhibit and other creative designers","14,940","5,390","9,550"
"53124 Artisans and craftspersons","19,615","6,895","12,720"
"53125 Patternmakers - textile, leather and fur products","725","205","520"
"532 Occupations in sports","26,260","16,765","9,500"
"5320 Athletes, coaches, referees and related occupations","26,260","16,765","9,500"
"53200 Athletes","4,375","3,580","790"
"53201 Coaches","16,695","9,000","7,700"
"53202 Sports officials and referees","5,190","4,180","1,015"
"54 Support occupations in sport","118,830","48,935","69,900"
"541 Support occupations in sport","118,830","48,935","69,900"
"5410 Program leaders and instructors in recreation, sport and fitness","118,830","48,935","69,900"
"54100 Program leaders and instructors in recreation, sport and fitness","118,830","48,935","69,900"
"55 Support occupations in art and culture","5,355","2,480","2,875"
"551 Support occupations in art and culture","5,355","2,480","2,875"
"5510 Support occupations in art and culture","5,355","2,480","2,875"
"55109 Other performers","5,355","2,480","2,875"
"6 Sales and service occupations","5,226,370","2,316,525","2,909,845"
"60 Middle management occupations in retail and wholesale trade and customer services","716,470","405,065","311,405"
"600 Middle management occupations in retail and wholesale trade and customer services","716,470","405,065","311,405"
"6001 Corporate sales managers","80,170","53,655","26,515"
"60010 Corporate sales managers","80,170","53,655","26,515"
"6002 Retail and wholesale trade managers","418,375","241,185","177,190"
"60020 Retail and wholesale trade managers","418,375","241,185","177,190"
"6003 Managers in food service and accommodation","188,580","97,435","91,145"
"60030 Restaurant and food service managers","158,235","83,455","74,780"
"60031 Accommodation service managers","30,350","13,980","16,370"
"6004 Managers in customer and personal services","29,345","12,800","16,545"
"60040 Managers in customer and personal services","29,345","12,800","16,545"
"62 Retail sales and service supervisors and specialized occupations in sales and services","362,875","197,655","165,220"
"620 Retail sales and service supervisors","188,165","81,220","106,945"
"6201 Retail sales supervisors","65,105","25,180","39,915"
"62010 Retail sales supervisors","65,105","25,180","39,915"
"6202 Service supervisors","123,065","56,040","67,025"
"62020 Food service supervisors","77,160","32,525","44,635"
"62021 Executive housekeepers","2,030","445","1,585"
"62022 Accommodation, travel, tourism and related services supervisors","6,425","2,920","3,500"
"62023 Customer and information services supervisors","11,025","3,965","7,055"
"62024 Cleaning supervisors","14,420","7,755","6,670"
"62029 Other services supervisors","12,005","8,425","3,580"
"621 Specialized sales occupations","91,295","56,925","34,365"
"6210 Technical sales specialists in wholesale trade and retail and wholesale buyers","91,295","56,925","34,365"
"62100 Technical sales specialists - wholesale trade","53,625","40,055","13,570"
"62101 Retail and wholesale buyers","37,665","16,875","20,795"
"622 Specialized services occupations","83,420","59,510","23,910"
"6220 Specialized occupations in services","83,420","59,510","23,910"
"62200 Chefs","73,355","54,030","19,325"
"62201 Funeral directors and embalmers","5,625","2,985","2,640"
"62202 Jewellers, jewellery and watch repairers and related occupations","4,435","2,495","1,940"
"63 Occupations in sales and services","733,790","308,420","425,370"
"631 Occupations in sales","268,495","124,470","144,025"
"6310 Insurance, real estate and financial sales occupations","268,495","124,470","144,025"
"63100 Insurance agents and brokers","83,900","33,900","50,000"
"63101 Real estate agents and salespersons","121,825","66,245","55,580"
"63102 Financial sales representatives","62,770","24,320","38,450"
"632 Occupations in services","465,290","183,950","281,340"
"6320 Cooks, butchers and bakers","276,470","152,440","124,025"
"63200 Cooks","212,290","123,655","88,635"
"63201 Butchers - retail and wholesale","11,775","10,300","1,475"
"63202 Bakers","52,400","18,485","33,920"
"6321 Hairstylists and estheticians","174,220","24,775","149,445"
"63210 Hairstylists and barbers","102,675","18,105","84,570"
"63211 Estheticians, electrologists and related occupations","71,550","6,665","64,880"
"6322 Shoe repairers, shoemakers and upholsterers","14,605","6,740","7,870"
"63220 Shoe repairers and shoemakers","10,570","3,870","6,695"
"63221 Upholsterers","4,040","2,865","1,175"
"64 Sales and service representatives and other customer and personal services occupations","1,427,280","632,680","794,605"
"641 Retail salespersons and non-technical wholesale trade sales and account representatives","791,130","369,675","421,455"
"6410 Retail salespersons and non-technical wholesale trade sales and account representatives","791,130","369,675","421,455"
"64100 Retail salespersons and visual merchandisers","722,870","324,280","398,585"
"64101 Sales and account representatives - wholesale trade (non-technical)","68,260","45,390","22,865"
"642 Occupations in personal service","23,685","3,545","20,135"
"6420 Occupations in personal service","23,685","3,545","20,135"
"64200 Tailors, dressmakers, furriers and milliners","21,015","2,795","18,225"
"64201 Image, social and other personal consultants","2,665","750","1,915"
"643 Occupations in food, accommodation and tourism","137,750","43,640","94,105"
"6430 Occupations in food and beverage service","57,055","16,405","40,650"
"64300 Maîtres d'hôtel and hosts/hostesses","24,220","3,285","20,935"
"64301 Bartenders","32,835","13,120","19,715"
"6431 Occupations in travel and accommodation","66,645","18,915","47,730"
"64310 Travel counsellors","20,835","4,355","16,480"
"64311 Pursers and flight attendants","12,905","2,680","10,225"
"64312 Airline ticket and service agents","12,120","4,195","7,930"
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks","1,850","785","1,060"
"64314 Hotel front desk clerks","18,935","6,905","12,025"
"6432 Tourism and amusement services occupations","14,045","8,315","5,730"
"64320 Tour and travel guides","3,310","1,790","1,520"
"64321 Casino workers","7,790","4,105","3,685"
"64322 Outdoor sport and recreational guides","2,945","2,420","525"
"644 Occupations in customer, information and protective services","474,720","215,820","258,900"
"6440 Customer and information services representatives","341,850","114,430","227,420"
"64400 Customer services representatives - financial institutions","63,940","16,245","47,700"
"64401 Postal services representatives","8,040","2,660","5,385"
"64409 Other customer and information services representatives","269,860","95,525","174,345"
"6441 Security guards and related security service occupations","132,875","101,390","31,480"
"64410 Security guards and related security service occupations","132,875","101,390","31,480"
"65 Sales and service support occupations","1,985,955","772,700","1,213,255"
"651 Sales support occupations","738,950","291,115","447,835"
"6510 Cashiers and other sales support occupations","738,950","291,115","447,835"
"65100 Cashiers","428,745","95,715","333,030"
"65101 Service station attendants","10,815","8,175","2,640"
"65102 Store shelf stockers, clerks and order fillers","263,855","173,070","90,775"
"65109 Other sales related occupations","35,535","14,150","21,390"
"652 Support occupations in food, accommodation and tourism","711,330","252,395","458,935"
"6520 Food support occupations","631,305","217,600","413,705"
"65200 Food and beverage servers","149,015","34,765","114,250"
"65201 Food counter attendants, kitchen helpers and related support occupations","474,760","176,570","298,190"
"65202 Meat cutters and fishmongers - retail and wholesale","7,530","6,265","1,270"
"6521 Support occupations in accommodation, travel, tourism and amusement services","45,000","28,725","16,275"
"65210 Support occupations in accommodation, travel and facilities set-up services","3,715","2,835","880"
"65211 Operators and attendants in amusement, recreation and sport","41,285","25,890","15,390"
"6522 Support occupations in personal services","35,025","6,070","28,960"
"65220 Pet groomers and animal care workers","31,615","5,530","26,080"
"65229 Other support occupations in personal services","3,410","540","2,875"
"653 Support occupations in cleaning and related services","535,665","229,190","306,485"
"6531 Cleaners","486,670","206,515","280,160"
"65310 Light duty cleaners","312,035","90,975","221,060"
"65311 Specialized cleaners","48,835","40,985","7,855"
"65312 Janitors, caretakers and heavy-duty cleaners","125,800","74,555","51,245"
"6532 Service support and related occupations","48,995","22,670","26,325"
"65320 Dry cleaning, laundry and related occupations","19,685","5,805","13,875"
"65329 Other service support occupations","29,310","16,865","12,445"
"7 Trades, transport and equipment operators and related occupations","3,526,800","3,204,945","321,855"
"70 Middle management occupations in trades and transportation","290,495","240,280","50,205"
"700 Middle management occupations in trades and transportation","290,495","240,280","50,205"
"7001 Managers in construction and facility operation and maintenance","243,970","205,855","38,110"
"70010 Construction managers","100,495","86,955","13,540"
"70011 Home building and renovation managers","62,540","58,425","4,110"
"70012 Facility operation and maintenance managers","80,935","60,475","20,460"
"7002 Managers in transportation and postal and courier services","46,525","34,425","12,100"
"70020 Managers in transportation","42,175","31,775","10,395"
"70021 Postal and courier services managers","4,350","2,650","1,700"
"72 Technical trades and transportation officers and controllers","1,358,050","1,300,890","57,165"
"720 Technical trades contractors and supervisors","211,365","190,980","20,385"
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","114,670","107,670","7,000"
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","14,405","13,575","835"
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","24,600","22,945","1,655"
"72012 Contractors and supervisors, pipefitting trades","8,485","8,115","370"
"72013 Contractors and supervisors, carpentry trades","16,465","15,990","475"
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","50,715","47,045","3,670"
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","96,695","83,310","13,390"
"72020 Contractors and supervisors, mechanic trades","27,340","25,470","1,870"
"72021 Contractors and supervisors, heavy equipment operator crews","45,785","44,015","1,770"
"72022 Supervisors, printing and related occupations","2,185","1,375","805"
"72023 Supervisors, railway transport operations","1,305","1,135","170"
"72024 Supervisors, motor transport and other ground transit operators","11,370","7,875","3,500"
"72025 Supervisors, mail and message distribution occupations","8,715","3,440","5,275"
"721 Technical industrial trades","192,025","184,035","7,990"
"7210 Machining, metal forming, shaping and erecting trades","192,025","184,035","7,990"
"72100 Machinists and machining and tooling inspectors","39,290","37,495","1,795"
"72101 Tool and die makers","10,590","10,110","485"
"72102 Sheet metal workers","20,320","19,810","505"
"72103 Boilermakers","4,250","4,140","115"
"72104 Structural metal and platework fabricators and fitters","7,030","6,825","210"
"72105 Ironworkers","14,285","13,970","315"
"72106 Welders and related machine operators","96,255","91,690","4,565"
"722 Technical electrical trades","180,405","174,540","5,865"
"7220 Technical electrical trades and electrical power line and telecommunications workers","180,405","174,540","5,865"
"72200 Electricians (except industrial and power system)","106,205","103,470","2,735"
"72201 Industrial electricians","22,910","22,470","440"
"72202 Power system electricians","5,210","5,025","185"
"72203 Electrical power line and cable workers","13,785","13,535","245"
"72204 Telecommunications line and cable installers and repairers","10,465","10,050","415"
"72205 Telecommunications equipment installation and cable television service technicians","21,835","19,995","1,845"
"723 Technical construction trades","312,860","304,235","8,625"
"7230 Plumbers, pipefitters and gas fitters","86,315","84,630","1,680"
"72300 Plumbers","56,385","55,420","970"
"72301 Steamfitters, pipefitters and sprinkler system installers","22,585","22,130","460"
"72302 Gas fitters","7,340","7,090","255"
"7231 Carpenters and cabinetmakers","197,690","191,735","5,955"
"72310 Carpenters","179,755","175,400","4,350"
"72311 Cabinetmakers","17,940","16,335","1,605"
"7232 Bricklayers and insulators","28,850","27,860","990"
"72320 Bricklayers","18,830","18,610","220"
"72321 Insulators","10,025","9,250","775"
"724 Technical maintenance trades","403,465","394,190","9,280"
"7240 Machinery and transportation equipment mechanics (except motor vehicles)","179,180","175,390","3,795"
"72400 Construction millwrights and industrial mechanics","69,280","68,080","1,205"
"72401 Heavy-duty equipment mechanics","47,265","46,740","530"
"72402 Heating, refrigeration and air conditioning mechanics","32,260","31,690","575"
"72403 Railway carmen/women","2,560","2,485","75"
"72404 Aircraft mechanics and aircraft inspectors","19,510","18,295","1,215"
"72405 Machine fitters","2,195","2,060","140"
"72406 Elevator constructors and mechanics","6,115","6,050","65"
"7241 Automotive service technicians","195,085","190,475","4,605"
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","162,840","159,790","3,055"
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","32,245","30,685","1,555"
"7242 Small engine and equipment mechanics and related repairers (including electrical components)","29,200","28,325","875"
"72420 Oil and solid fuel heating mechanics","1,760","1,730","30"
"72421 Appliance servicers and repairers","6,355","6,160","195"
"72422 Electrical mechanics","10,920","10,505","420"
"72423 Motorcycle, all-terrain vehicle and other related mechanics","7,210","7,030","180"
"72429 Other small engine and small equipment repairers","2,950","2,905","45"
"725 Technical equipment operation trades","15,190","14,820","375"
"7250 Crane operators and water well drillers","15,190","14,820","375"
"72500 Crane operators","14,520","14,170","350"
"72501 Water well drillers","670","650","25"
"726 Transportation officers and controllers","32,655","29,040","3,615"
"7260 Transportation officers and controllers","32,655","29,040","3,615"
"72600 Air pilots, flight engineers and flying instructors","18,605","17,215","1,390"
"72601 Air traffic controllers and related occupations","4,790","3,640","1,150"
"72602 Deck officers, water transport","6,275","5,615","660"
"72603 Engineer officers, water transport","1,535","1,455","80"
"72604 Railway traffic controllers and marine traffic regulators","1,455","1,110","340"
"729 Other technical trades","10,080","9,050","1,025"
"7299 Other technical trades","10,080","9,050","1,025"
"72999 Other technical trades and related occupations","10,080","9,050","1,025"
"73 General trades","979,385","894,515","84,870"
"731 General construction trades","150,485","138,180","12,310"
"7310 Concrete finishers, tilesetters and plasterers","52,130","50,015","2,120"
"73100 Concrete finishers","10,055","9,830","225"
"73101 Tilesetters","9,940","9,495","445"
"73102 Plasterers, drywall installers and finishers and lathers","32,140","30,690","1,450"
"7311 Roofers, glaziers, painters, decorators and floor covering installers","98,360","88,165","10,190"
"73110 Roofers and shinglers","25,975","25,440","535"
"73111 Glaziers","8,855","8,635","225"
"73112 Painters and decorators (except interior decorators)","50,135","41,205","8,930"
"73113 Floor covering installers","13,390","12,885","505"
"732 Building maintenance installers, servicers and repairers","187,995","173,880","14,115"
"7320 Building maintenance installers, servicers and repairers","187,995","173,880","14,115"
"73200 Residential and commercial installers and servicers","57,405","54,665","2,740"
"73201 General building maintenance workers and building superintendents","114,085","103,945","10,140"
"73202 Pest controllers and fumigators","4,555","4,075","480"
"73209 Other repairers and servicers","11,955","11,195","760"
"733 Transportation occupations","519,310","467,735","51,575"
"7330 Transport truck and transit drivers","507,265","456,380","50,880"
"73300 Transport truck drivers","403,855","385,670","18,185"
"73301 Bus drivers, subway operators and other transit operators","103,410","70,710","32,700"
"7331 Train crew operating occupations","12,045","11,350","695"
"73310 Railway and yard locomotive engineers","6,115","5,745","375"
"73311 Railway conductors and brakemen/women","5,930","5,610","325"
"734 Operators, drillers and blasters","121,590","114,730","6,865"
"7340 Operators, drillers and blasters","121,590","114,730","6,865"
"73400 Heavy equipment operators","101,535","96,980","4,550"
"73401 Printing press operators","15,375","13,095","2,280"
"73402 Drillers and blasters - surface mining, quarrying and construction","4,685","4,650","30"
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","159,250","122,570","36,680"
"741 Mail and message distribution occupations","98,470","66,015","32,460"
"7410 Mail and message distribution occupations","98,470","66,015","32,460"
"74100 Mail and parcel sorters and related occupations","25,410","13,685","11,725"
"74101 Letter carriers","34,870","20,170","14,700"
"74102 Couriers and messengers","38,195","32,165","6,035"
"742 Transport equipment operators, utility maintenance and related workers","60,775","56,555","4,220"
"7420 Transport equipment operators, utility maintenance and related maintenance workers","60,775","56,555","4,220"
"74200 Railway yard and track maintenance workers","5,985","5,760","225"
"74201 Water transport deck and engine room crew","4,935","4,395","540"
"74202 Air transport ramp attendants","10,280","9,080","1,205"
"74203 Automotive and heavy truck and equipment parts installers and servicers","16,130","15,330","800"
"74204 Utility maintenance workers","6,345","5,775","580"
"74205 Public works maintenance equipment operators and related workers","17,100","16,225","875"
"75 Helpers and labourers and other transport drivers, operators and labourers","739,620","646,685","92,930"
"751 Helpers and labourers","510,800","445,280","65,515"
"7510 Longshore workers and material handlers","252,320","207,160","45,160"
"75100 Longshore workers","6,290","5,535","750"
"75101 Material handlers","246,030","201,620","44,410"
"7511 Trades helpers and labourers","258,475","238,120","20,355"
"75110 Construction trades helpers and labourers","244,110","224,950","19,160"
"75119 Other trades helpers and labourers","14,365","13,175","1,190"
"752 Transport drivers, operators and labourers","228,820","201,405","27,415"
"7520 Taxi, personal service and delivery service drivers","184,175","162,435","21,740"
"75200 Taxi and limousine drivers and chauffeurs","68,390","63,675","4,720"
"75201 Delivery service drivers and door-to-door distributors","115,785","98,765","17,020"
"7521 Water and rail transport operators and labourers and related occupations","44,645","38,965","5,680"
"75210 Boat and cable ferry operators and related occupations","3,160","2,575","590"
"75211 Railway and motor transport labourers","5,685","4,765","925"
"75212 Public works and maintenance labourers","35,795","31,630","4,165"
"8 Natural resources, agriculture and related production occupations","617,425","472,910","144,515"
"80 Middle management occupations in production and agriculture","193,100","140,735","52,365"
"800 Middle management occupations in production and agriculture","193,100","140,735","52,365"
"8001 Managers in natural resources production and fishing","10,665","9,520","1,155"
"80010 Managers in natural resources production and fishing","10,665","9,520","1,155"
"8002 Managers in agriculture, horticulture and aquaculture","182,430","131,215","51,215"
"80020 Managers in agriculture","177,345","128,015","49,330"
"80021 Managers in horticulture","4,120","2,395","1,720"
"80022 Managers in aquaculture","965","800","165"
"82 Supervisors in natural resources, agriculture and related production","52,755","47,210","5,545"
"820 Supervisors in natural resources, agriculture and related production","52,755","47,210","5,545"
"8201 Supervisors, logging and forestry","6,760","6,380","375"
"82010 Supervisors, logging and forestry","6,760","6,380","375"
"8202 Contractors and supervisors, mining, oil and gas","20,385","19,380","1,010"
"82020 Supervisors, mining and quarrying","8,370","7,965","400"
"82021 Contractors and supervisors, oil and gas drilling and services","12,020","11,415","605"
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services","25,610","21,450","4,165"
"82030 Agricultural service contractors and farm supervisors","3,085","2,250","835"
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","22,525","19,195","3,330"
"83 Occupations in natural resources and related production","44,350","40,485","3,865"
"831 Occupations in natural resources and fisheries","44,350","40,485","3,865"
"8310 Underground miners, oil and gas drillers and related occupations","22,600","21,135","1,465"
"83100 Underground production and development miners","14,615","14,040","575"
"83101 Oil and gas well drillers, servicers, testers and related workers","7,985","7,090","890"
"8311 Logging machinery operators","7,545","7,400","145"
"83110 Logging machinery operators","7,545","7,400","145"
"8312 Fishing vessel masters and fishermen/women","14,210","11,950","2,255"
"83120 Fishing masters and officers","1,160","1,135","25"
"83121 Fishermen/women","13,055","10,815","2,235"
"84 Workers in natural resources, agriculture and related production","90,855","72,150","18,705"
"841 Workers in natural resources and fisheries","90,855","72,150","18,705"
"8410 Mine service workers and operators in oil and gas drilling","10,655","10,105","550"
"84100 Underground mine service and support workers","4,535","4,225","305"
"84101 Oil and gas well drilling and related workers and services operators","6,120","5,880","245"
"8411 Logging and forestry workers","17,375","15,880","1,500"
"84110 Chain saw and skidder operators","8,715","8,435","280"
"84111 Silviculture and forestry workers","8,665","7,440","1,225"
"8412 Workers in agriculture and fishing occupations","62,825","46,170","16,655"
"84120 Specialized livestock workers and farm machinery operators","52,265","37,720","14,540"
"84121 Fishing vessel deckhands","10,560","8,450","2,110"
"85 Harvesting, landscaping and natural resources labourers","236,360","172,325","64,035"
"851 Harvesting, landscaping and natural resources labourers","236,360","172,325","64,035"
"8510 Agriculture, horticulture and harvesting labourers and related occupations","75,635","40,460","35,175"
"85100 Livestock labourers","35,230","19,845","15,385"
"85101 Harvesting labourers","16,310","8,695","7,615"
"85102 Aquaculture and marine harvest labourers","2,925","2,420","500"
"85103 Nursery and greenhouse labourers","20,515","8,950","11,560"
"85104 Trappers and hunters","660","545","115"
"8511 Mine and oil and gas drilling, services and related labourers","11,415","10,380","1,030"
"85110 Mine labourers","3,180","2,705","485"
"85111 Oil and gas drilling, servicing and related labourers","8,230","7,680","550"
"8512 Logging, forestry, landscaping and other related labourers","149,310","121,485","27,830"
"85120 Logging and forestry labourers","6,260","4,305","1,945"
"85121 Landscaping and grounds maintenance labourers","143,055","117,175","25,875"
"9 Occupations in manufacturing and utilities","937,355","664,465","272,895"
"90 Middle management occupations in manufacturing and utilities","87,460","68,620","18,840"
"900 Middle management occupations in manufacturing and utilities","87,460","68,620","18,840"
"9001 Managers in manufacturing and utilities","87,460","68,620","18,840"
"90010 Manufacturing managers","75,600","59,145","16,460"
"90011 Utilities managers","11,860","9,480","2,380"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","113,935","96,435","17,500"
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","63,710","50,340","13,375"
"9201 Supervisors, processing and manufacturing occupations","45,105","35,405","9,700"
"92010 Supervisors, mineral and metal processing","5,720","5,390","335"
"92011 Supervisors, petroleum, gas and chemical processing and utilities","12,515","10,330","2,190"
"92012 Supervisors, food and beverage processing","16,185","10,850","5,330"
"92013 Supervisors, plastic and rubber products manufacturing","3,700","2,975","725"
"92014 Supervisors, forest products processing","5,830","5,355","475"
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing","1,155","515","645"
"9202 Supervisors, assembly and fabrication","18,605","14,935","3,670"
"92020 Supervisors, motor vehicle assembling","8,550","6,765","1,790"
"92021 Supervisors, electronics and electrical products manufacturing","2,290","1,610","680"
"92022 Supervisors, furniture and fixtures manufacturing","1,660","1,335","325"
"92023 Supervisors, other mechanical and metal products manufacturing","2,950","2,625","320"
"92024 Supervisors, other products manufacturing and assembly","3,155","2,605","550"
"921 Utilities equipment operators and controllers","50,225","46,095","4,125"
"9210 Utilities equipment operators and controllers","50,225","46,095","4,125"
"92100 Power engineers and power systems operators","36,215","33,950","2,265"
"92101 Water and waste treatment plant operators","14,010","12,140","1,870"
"93 Central control and process operators and aircraft assembly assemblers and inspectors","32,515","28,815","3,700"
"931 Central control and process operators in processing and manufacturing","26,685","24,040","2,645"
"9310 Central control and process operators in processing and manufacturing","26,685","24,040","2,645"
"93100 Central control and process operators, mineral and metal processing","2,470","2,280","185"
"93101 Central control and process operators, petroleum, gas and chemical processing","23,435","21,055","2,385"
"93102 Pulping, papermaking and coating control operators","780","705","75"
"932 Aircraft assemblers and aircraft assembly inspectors","5,830","4,770","1,055"
"9320 Aircraft assemblers and aircraft assembly inspectors","5,830","4,770","1,055"
"93200 Aircraft assemblers and aircraft assembly inspectors","5,830","4,770","1,055"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","408,470","289,845","118,625"
"941 Processing and manufacturing machine operators and related production workers","225,065","158,050","67,015"
"9410 Machine operators and related workers in mineral and metal products processing and manufacturing","44,595","40,650","3,945"
"94100 Machine operators, mineral and metal processing","8,820","8,215","600"
"94101 Foundry workers","2,525","2,365","155"
"94102 Glass forming and finishing machine operators and glass cutters","2,415","2,155","255"
"94103 Concrete, clay and stone forming operators","4,015","3,830","185"
"94104 Inspectors and testers, mineral and metal processing","2,375","1,885","485"
"94105 Metalworking and forging machine operators","12,155","11,185","970"
"94106 Machining tool operators","9,250","8,420","825"
"94107 Machine operators of other metal products","3,050","2,585","465"
"9411 Machine operators and related workers in chemical, plastic and rubber processing","28,290","21,405","6,885"
"94110 Chemical plant machine operators","8,145","6,020","2,125"
"94111 Plastics processing machine operators","14,645","10,750","3,895"
"94112 Rubber processing machine operators and related workers","5,500","4,630","870"
"9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing","27,855","24,375","3,475"
"94120 Sawmill machine operators","6,685","6,235","455"
"94121 Pulp mill, papermaking and finishing machine operators","5,220","4,750","465"
"94122 Paper converting machine operators","3,740","3,120","620"
"94123 Lumber graders and other wood processing inspectors and graders","2,680","2,190","490"
"94124 Woodworking machine operators","7,210","6,035","1,175"
"94129 Other wood processing machine operators","2,325","2,050","270"
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","22,660","4,815","17,845"
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers","3,030","1,715","1,315"
"94131 Weavers, knitters and other fabric making occupations","2,430","835","1,595"
"94132 Industrial sewing machine operators","15,420","1,905","13,515"
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing","1,775","355","1,415"
"9414 Machine operators and related workers in food, beverage and associated products processing","86,995","57,685","29,315"
"94140 Process control and machine operators, food and beverage processing","52,355","37,430","14,925"
"94141 Industrial butchers and meat cutters, poultry preparers and related workers","17,615","12,605","5,010"
"94142 Fish and seafood plant workers","8,600","4,510","4,090"
"94143 Testers and graders, food and beverage processing","8,430","3,135","5,290"
"9415 Printing equipment operators and related occupations","14,670","9,115","5,555"
"94150 Plateless printing equipment operators","7,300","4,830","2,470"
"94151 Camera, platemaking and other prepress occupations","2,115","1,490","625"
"94152 Binding and finishing machine operators","3,835","2,140","1,695"
"94153 Photographic and film processors","1,420","660","760"
"942 Assemblers and inspectors in manufacturing","183,405","131,800","51,615"
"9420 Mechanical, electrical and electronics assemblers and inspectors","111,435","75,470","35,960"
"94200 Motor vehicle assemblers, inspectors and testers","74,690","50,100","24,590"
"94201 Electronics assemblers, fabricators, inspectors and testers","14,170","7,075","7,100"
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","7,840","5,795","2,045"
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers","2,610","2,115","490"
"94204 Mechanical assemblers and inspectors","11,175","9,675","1,505"
"94205 Machine operators and inspectors, electrical apparatus manufacturing","950","720","235"
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","71,975","56,325","15,650"
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors","18,880","14,600","4,275"
"94211 Assemblers and inspectors of other wood products","9,000","7,990","1,010"
"94212 Plastic products assemblers, finishers and inspectors","5,490","3,125","2,365"
"94213 Industrial painters, coaters and metal finishing process operators","16,155","14,190","1,960"
"94219 Other products assemblers, finishers and inspectors","22,450","16,420","6,030"
"95 Labourers in processing, manufacturing and utilities","294,970","180,750","114,225"
"951 Labourers in processing, manufacturing and utilities","294,970","180,750","114,225"
"9510 Labourers in processing, manufacturing and utilities","294,970","180,750","114,225"
"95100 Labourers in mineral and metal processing","10,960","10,060","900"
"95101 Labourers in metal fabrication","14,960","13,100","1,860"
"95102 Labourers in chemical products processing and utilities","22,440","15,820","6,615"
"95103 Labourers in wood, pulp and paper processing","19,915","16,905","3,010"
"95104 Labourers in rubber and plastic products manufacturing","10,320","7,095","3,225"
"95105 Labourers in textile processing and cutting","6,735","2,910","3,830"
"95106 Labourers in food and beverage processing","96,830","47,100","49,735"
"95107 Labourers in fish and seafood processing","10,105","5,985","4,115"
"95109 Other labourers in processing, manufacturing and utilities","102,700","61,770","40,935"


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



iBall:
i1,"Geography name: Canada; Geographic area type: Country; Geographic area type abbreviation: Country; Geographic level: Country; Province or territory abbreviation: ...; Dissemination Geography Unique Identifier (DGUID): 2021A000011124; Alternative geographic code: 01; Province or territory geocode: 01; Long-form total non-response rate: 4.3; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."



Footnotes:
1,"Age    'Age' refers to the age of a person (or subject) of interest at last birthday (or relative to a specified, well-defined reference date)."
