"Occupation by major field of study (detailed, 4-digit): Canada, provinces and territories"
"Frequency: Occasional"
"Table: 98-10-0404-01"
"Release date: 2023-10-04"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A), Age (2), Highest certificate, diploma or degree (16), Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3)"

"Geography","Canada i1",,
"Age (2) 1","Total - Age 4",,
"Highest certificate, diploma or degree (16) 2","Total - Highest certificate, diploma or degree 5",,
"Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 3","Total - Major field of study - Classification of Instructional Programs (CIP) 2021 6",,
"Gender (3) 7 8","Total - Gender","Men+ 10","Women+ 11"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9"
"143 Library, correspondence and other clerks","35,940","8,360","27,580"
"1430 Library, correspondence and other clerks","35,940","8,360","27,580"
"14300 Library assistants and clerks","14,975","2,710","12,265"
"14301 Correspondence, publication and regulatory clerks","20,955","5,645","15,315"
"144 Supply chain logistics, tracking and scheduling coordination occupations","262,445","176,465","85,980"
"1440 Supply chain logistics, tracking and scheduling coordination occupations","262,445","176,465","85,980"
"14400 Shippers and receivers","130,705","97,230","33,485"
"14401 Storekeepers and partspersons","47,470","37,190","10,290"
"14402 Production logistics workers","9,340","4,450","4,890"
"14403 Purchasing and inventory control workers","38,130","20,595","17,535"
"14404 Dispatchers","32,495","15,030","17,465"
"14405 Transportation route and crew schedulers","4,295","1,980","2,320"
"2 Natural and applied sciences and related occupations","1,666,685","1,257,790","408,895"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","134,625","99,215","35,410"
"200 Specialized middle management occupations in engineering, architecture, science and information systems","134,625","99,215","35,410"
"2001 Managers in engineering, architecture, science and information systems","134,625","99,215","35,410"
"20010 Engineering managers","32,775","26,760","6,015"
"20011 Architecture and science managers","15,610","8,445","7,170"
"20012 Computer and information systems managers","86,235","64,010","22,230"
"21 Professional occupations in natural and applied sciences","966,165","715,820","250,345"
"211 Professional occupations in natural sciences","105,080","56,280","48,795"
"2110 Physical science professionals","33,730","21,020","12,715"
"21100 Physicists and astronomers","2,755","2,140","610"
"21101 Chemists","17,280","8,885","8,400"
"21102 Geoscientists and oceanographers","12,140","8,885","3,250"
"21103 Meteorologists and climatologists","940","700","240"
"21109 Other professional occupations in physical sciences","620","405","210"
"2111 Life science professionals","50,005","23,900","26,105"
"21110 Biologists and related scientists","36,960","15,050","21,915"
"21111 Forestry professionals","5,545","4,390","1,160"
"21112 Agricultural representatives, consultants and specialists","7,495","4,465","3,035"
"2112 Public and environmental health and safety professionals","21,345","11,370","9,980"
"21120 Public and environmental health and safety professionals","21,345","11,370","9,980"
"212 Professional occupations in applied sciences (except engineering)","600,375","440,245","160,130"
"2120 Architects, urban planners and land surveyors","51,625","32,865","18,755"
"21200 Architects","20,975","13,030","7,950"
"21201 Landscape architects","2,270","1,170","1,100"
"21202 Urban and land use planners","20,615","11,630","8,985"
"21203 Land surveyors","7,760","7,040","720"
"2121 Mathematicians, statisticians, actuaries and data scientists","29,490","18,450","11,045"
"21210 Mathematicians, statisticians and actuaries","14,075","7,630","6,445"
"21211 Data scientists","15,420","10,820","4,600"
"2122 Computer and information systems professionals","217,385","149,320","68,070"
"21220 Cybersecurity specialists","15,060","12,195","2,865"
"21221 Business systems specialists","32,630","17,790","14,835"
"21222 Information systems specialists","143,475","103,735","39,745"
"21223 Database analysts and data administrators","26,225","15,600","10,630"
"2123 Computer, software and Web designers and developers","301,875","239,615","62,260"
"21230 Computer systems developers and programmers","44,720","36,465","8,255"
"21231 Software engineers and designers","90,570","74,150","16,420"
"21232 Software developers and programmers","95,220","77,475","17,750"
"21233 Web designers","13,700","7,905","5,795"
"21234 Web developers and programmers","57,665","43,620","14,045"
"213 Professional occupations in engineering","260,710","219,290","41,420"
"2130 Civil and mechanical engineers","128,480","108,905","19,580"
"21300 Civil engineers","69,790","56,550","13,245"
"21301 Mechanical engineers","58,690","52,355","6,335"
"2131 Electrical, electronics and computer engineers","74,625","65,400","9,215"
"21310 Electrical and electronics engineers","47,890","41,985","5,905"
"21311 Computer engineers (except software engineers and designers)","26,730","23,415","3,315"
"2132 Manufacturing and processing engineers","32,030","23,935","8,095"
"21320 Chemical engineers","12,075","8,405","3,675"
"21321 Industrial and manufacturing engineers","17,095","13,240","3,860"
"21322 Metallurgical and materials engineers","2,855","2,290","565"
"2133 Natural resources engineers","13,200","10,820","2,380"
"21330 Mining engineers","3,575","2,995","580"
"21331 Geological engineers","3,905","3,100","800"
"21332 Petroleum engineers","5,720","4,725","995"
"2139 Other engineers","12,380","10,230","2,150"
"21390 Aerospace engineers","5,785","4,995","790"
"21399 Other professional engineers","6,595","5,235","1,360"
"22 Technical occupations related to natural and applied sciences","565,895","442,760","123,135"
"221 Technical occupations related to natural sciences","75,610","47,920","27,695"
